"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Zika virus infection","Reported cases","Number of cases","N","2015","AT","Austria",1.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2015","BE","Belgium",1.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2015","ES","Spain",10.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2015","EU_EEA31","EU/EEA",29.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2015","FI","Finland",1.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2015","IE","Ireland",1.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2015","LV","Latvia",0.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2015","NL","Netherlands",11.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2015","SE","Sweden",1.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2015","UK","United Kingdom",3.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2016","AT","Austria",41.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2016","BE","Belgium",120.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2016","CZ","Czech Republic",13.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2016","DK","Denmark",8.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2016","EE","Estonia",0.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2016","EL","Greece",2.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2016","ES","Spain",301.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2016","EU_EEA31","EU/EEA",2119.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2016","FI","Finland",6.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2016","FR","France",1141.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2016","HU","Hungary",2.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2016","IE","Ireland",15.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2016","IT","Italy",101.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2016","LU","Luxembourg",2.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2016","LV","Latvia",0.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2016","MT","Malta",2.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2016","NL","Netherlands",98.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2016","NO","Norway",8.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2016","PT","Portugal",18.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2016","RO","Romania",3.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2016","SE","Sweden",34.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2016","SI","Slovenia",7.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2016","SK","Slovakia",3.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2016","UK","United Kingdom",194.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2017","AT","Austria",8.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2017","BE","Belgium",43.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2017","CZ","Czech Republic",4.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2017","DE","Germany",69.000000000,""
