cid,year,count,cause
http://www.wikidata.org/entity/Q12078,1981,64,Krebs
http://www.wikidata.org/entity/Q12078,2010,344,Krebs
http://www.wikidata.org/entity/Q12078,2016,318,Krebs
http://www.wikidata.org/entity/Q12078,1988,68,Krebs
http://www.wikidata.org/entity/Q12078,1994,114,Krebs
http://www.wikidata.org/entity/Q12078,1985,53,Krebs
http://www.wikidata.org/entity/Q12078,1971,35,Krebs
http://www.wikidata.org/entity/Q12078,2003,181,Krebs
http://www.wikidata.org/entity/Q12078,2006,261,Krebs
http://www.wikidata.org/entity/Q12078,1998,106,Krebs
http://www.wikidata.org/entity/Q12078,1974,37,Krebs
http://www.wikidata.org/entity/Q12078,1996,101,Krebs
http://www.wikidata.org/entity/Q12078,1987,75,Krebs
http://www.wikidata.org/entity/Q12078,2007,245,Krebs
http://www.wikidata.org/entity/Q12078,2012,251,Krebs
http://www.wikidata.org/entity/Q12078,1967,37,Krebs
http://www.wikidata.org/entity/Q12078,1995,116,Krebs
http://www.wikidata.org/entity/Q12078,1979,57,Krebs
http://www.wikidata.org/entity/Q12078,1968,36,Krebs
http://www.wikidata.org/entity/Q12078,2004,201,Krebs
http://www.wikidata.org/entity/Q12078,1989,86,Krebs
http://www.wikidata.org/entity/Q12078,2015,327,Krebs
http://www.wikidata.org/entity/Q12078,2011,284,Krebs
http://www.wikidata.org/entity/Q12078,1962,33,Krebs
http://www.wikidata.org/entity/Q12078,1980,46,Krebs
http://www.wikidata.org/entity/Q12078,2008,243,Krebs
http://www.wikidata.org/entity/Q12078,1982,64,Krebs
http://www.wikidata.org/entity/Q12078,1969,30,Krebs
http://www.wikidata.org/entity/Q12078,2009,251,Krebs
http://www.wikidata.org/entity/Q12078,1986,83,Krebs
http://www.wikidata.org/entity/Q12078,1990,110,Krebs
http://www.wikidata.org/entity/Q12078,1963,30,Krebs
http://www.wikidata.org/entity/Q12078,2002,136,Krebs
http://www.wikidata.org/entity/Q12078,1972,34,Krebs
http://www.wikidata.org/entity/Q12078,2005,218,Krebs
http://www.wikidata.org/entity/Q12078,2000,133,Krebs
http://www.wikidata.org/entity/Q12078,1964,27,Krebs
http://www.wikidata.org/entity/Q12078,1965,31,Krebs
http://www.wikidata.org/entity/Q12078,2014,308,Krebs
http://www.wikidata.org/entity/Q12078,1997,123,Krebs
http://www.wikidata.org/entity/Q12078,1978,51,Krebs
http://www.wikidata.org/entity/Q12078,1983,65,Krebs
http://www.wikidata.org/entity/Q12078,2001,131,Krebs
http://www.wikidata.org/entity/Q12078,2013,287,Krebs
http://www.wikidata.org/entity/Q12078,1999,105,Krebs
http://www.wikidata.org/entity/Q12078,1970,50,Krebs
http://www.wikidata.org/entity/Q12078,1984,57,Krebs
http://www.wikidata.org/entity/Q12078,1993,104,Krebs
http://www.wikidata.org/entity/Q12078,2018,231,Krebs
http://www.wikidata.org/entity/Q12078,1976,45,Krebs
http://www.wikidata.org/entity/Q12078,2017,298,Krebs
http://www.wikidata.org/entity/Q12078,1973,43,Krebs
http://www.wikidata.org/entity/Q12078,1966,44,Krebs
http://www.wikidata.org/entity/Q12078,1977,53,Krebs
http://www.wikidata.org/entity/Q12078,1975,42,Krebs
http://www.wikidata.org/entity/Q12078,1992,100,Krebs
http://www.wikidata.org/entity/Q12078,1991,75,Krebs
http://www.wikidata.org/entity/Q180614,1981,1,Malignes Melanom
http://www.wikidata.org/entity/Q33525,1997,1,Karzinom
http://www.wikidata.org/entity/Q33525,2010,1,Karzinom
http://www.wikidata.org/entity/Q180614,2010,12,Malignes Melanom
http://www.wikidata.org/entity/Q180614,1996,5,Malignes Melanom
http://www.wikidata.org/entity/Q33525,2017,1,Karzinom
http://www.wikidata.org/entity/Q180614,2003,1,Malignes Melanom
http://www.wikidata.org/entity/Q180614,2005,10,Malignes Melanom
http://www.wikidata.org/entity/Q180614,1997,5,Malignes Melanom
http://www.wikidata.org/entity/Q180614,2007,5,Malignes Melanom
http://www.wikidata.org/entity/Q180614,2008,8,Malignes Melanom
http://www.wikidata.org/entity/Q33525,2004,1,Karzinom
http://www.wikidata.org/entity/Q180614,2014,4,Malignes Melanom
http://www.wikidata.org/entity/Q180614,1998,1,Malignes Melanom
http://www.wikidata.org/entity/Q180614,1990,2,Malignes Melanom
http://www.wikidata.org/entity/Q180614,2018,4,Malignes Melanom
http://www.wikidata.org/entity/Q180614,1985,1,Malignes Melanom
http://www.wikidata.org/entity/Q180614,2006,4,Malignes Melanom
http://www.wikidata.org/entity/Q180614,2004,2,Malignes Melanom
http://www.wikidata.org/entity/Q180614,2011,7,Malignes Melanom
http://www.wikidata.org/entity/Q180614,1976,2,Malignes Melanom
http://www.wikidata.org/entity/Q180614,1977,2,Malignes Melanom
http://www.wikidata.org/entity/Q180614,2012,4,Malignes Melanom
http://www.wikidata.org/entity/Q180614,2002,3,Malignes Melanom
http://www.wikidata.org/entity/Q180614,2001,6,Malignes Melanom
http://www.wikidata.org/entity/Q180614,1964,2,Malignes Melanom
http://www.wikidata.org/entity/Q33525,1993,1,Karzinom
http://www.wikidata.org/entity/Q180614,2013,6,Malignes Melanom
http://www.wikidata.org/entity/Q180614,2009,5,Malignes Melanom
http://www.wikidata.org/entity/Q180614,2000,2,Malignes Melanom
http://www.wikidata.org/entity/Q33525,2014,1,Karzinom
http://www.wikidata.org/entity/Q180614,1994,2,Malignes Melanom
http://www.wikidata.org/entity/Q180614,2015,5,Malignes Melanom
http://www.wikidata.org/entity/Q180614,2016,3,Malignes Melanom
http://www.wikidata.org/entity/Q33525,1978,2,Karzinom
http://www.wikidata.org/entity/Q33525,2016,2,Karzinom
