mentions_eventtimedate,mentions_mentiontimedate,mentions_mentiontype,mentions_mentionidentifier,events_monthyear,events_sourceurl,events_nummentions,events_numsources,events_numarticles,events_eventcode,events_Actor1Name,events_Actor1CountryCode,events_Actor2Name,events_Actor2CountryCode
2.01805E+13,2.01805E+13,1,http://proceso.hn/actualidad/7-actualidad/enfermeras-y-gobierno-llegan-a-acuerdo-y-se-suman-a-campana-de-vacunacion-contra-la-influenza.html,201805,http://proceso.hn/actualidad/7-actualidad/enfermeras-y-gobierno-llegan-a-acuerdo-y-se-suman-a-campana-de-vacunacion-contra-la-influenza.html,10,1,10,51,,,NURSE,
2.01805E+13,2.01805E+13,1,http://proceso.hn/actualidad/7-actualidad/enfermeras-y-gobierno-llegan-a-acuerdo-y-se-suman-a-campana-de-vacunacion-contra-la-influenza.html,201805,http://proceso.hn/actualidad/7-actualidad/enfermeras-y-gobierno-llegan-a-acuerdo-y-se-suman-a-campana-de-vacunacion-contra-la-influenza.html,10,1,10,30,,,NURSE,
2.01805E+13,2.01805E+13,1,http://proceso.hn/actualidad/7-actualidad/enfermeras-y-gobierno-llegan-a-acuerdo-y-se-suman-a-campana-de-vacunacion-contra-la-influenza.html,201805,http://proceso.hn/actualidad/7-actualidad/enfermeras-y-gobierno-llegan-a-acuerdo-y-se-suman-a-campana-de-vacunacion-contra-la-influenza.html,10,1,10,50,,,NURSE,
2.01805E+13,2.01805E+13,1,http://proceso.hn/actualidad/7-actualidad/enfermeras-y-gobierno-llegan-a-acuerdo-y-se-suman-a-campana-de-vacunacion-contra-la-influenza.html,201805,http://proceso.hn/actualidad/7-actualidad/enfermeras-y-gobierno-llegan-a-acuerdo-y-se-suman-a-campana-de-vacunacion-contra-la-influenza.html,10,1,10,10,ASSEMBLIES,,,
2.01805E+13,2.01805E+13,1,http://proceso.hn/actualidad/7-actualidad/enfermeras-y-gobierno-llegan-a-acuerdo-y-se-suman-a-campana-de-vacunacion-contra-la-influenza.html,201805,http://proceso.hn/actualidad/7-actualidad/enfermeras-y-gobierno-llegan-a-acuerdo-y-se-suman-a-campana-de-vacunacion-contra-la-influenza.html,2,1,2,110,GOVERNMENT,,TEGUCIGALPA,HND
2.01805E+13,2.01805E+13,1,http://proceso.hn/actualidad/7-actualidad/enfermeras-y-gobierno-llegan-a-acuerdo-y-se-suman-a-campana-de-vacunacion-contra-la-influenza.html,201805,http://proceso.hn/actualidad/7-actualidad/enfermeras-y-gobierno-llegan-a-acuerdo-y-se-suman-a-campana-de-vacunacion-contra-la-influenza.html,10,1,10,50,NURSE,,,
2.01805E+13,2.01805E+13,1,http://proceso.hn/actualidad/7-actualidad/enfermeras-y-gobierno-llegan-a-acuerdo-y-se-suman-a-campana-de-vacunacion-contra-la-influenza.html,201805,http://proceso.hn/actualidad/7-actualidad/enfermeras-y-gobierno-llegan-a-acuerdo-y-se-suman-a-campana-de-vacunacion-contra-la-influenza.html,2,1,2,110,NURSE,,TEGUCIGALPA,HND
2.01805E+13,2.01805E+13,1,http://proceso.hn/actualidad/7-actualidad/enfermeras-y-gobierno-llegan-a-acuerdo-y-se-suman-a-campana-de-vacunacion-contra-la-influenza.html,201805,http://proceso.hn/actualidad/7-actualidad/enfermeras-y-gobierno-llegan-a-acuerdo-y-se-suman-a-campana-de-vacunacion-contra-la-influenza.html,12,1,10,30,NURSE,,GOVERNMENT,
2.01805E+13,2.01805E+13,1,http://proceso.hn/actualidad/7-actualidad/enfermeras-y-gobierno-llegan-a-acuerdo-y-se-suman-a-campana-de-vacunacion-contra-la-influenza.html,201805,http://proceso.hn/actualidad/7-actualidad/enfermeras-y-gobierno-llegan-a-acuerdo-y-se-suman-a-campana-de-vacunacion-contra-la-influenza.html,10,1,10,30,NURSE,,,
2.01805E+13,2.01805E+13,1,http://proceso.hn/actualidad/7-actualidad/enfermeras-y-gobierno-llegan-a-acuerdo-y-se-suman-a-campana-de-vacunacion-contra-la-influenza.html,201805,http://proceso.hn/actualidad/7-actualidad/enfermeras-y-gobierno-llegan-a-acuerdo-y-se-suman-a-campana-de-vacunacion-contra-la-influenza.html,12,1,10,30,GOVERNMENT,,NURSE,
