rn,SQLDATE,MonthYear,EventCode,SOURCEURL,IsRootEvent,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,NumMentions,NumSources,NumArticles
16001,20181002,201810,010,https://www.alcalorpolitico.com/informacion/solicita-intervencion-de-la-secretaria-de-salud-para-evitar-brote-de-influenza-en-escuela-de-xalapa-272123.html,1,SCHOOL,,WEBSITE,,10,1,10
16002,20181001,201810,010,https://www.amarujala.com/bizarre-news/weird-stories/spanish-flu-the-pandemic-influenza-that-took-millions-lives,1,SPANISH,ESP,UNITED KINGDOM,GBR,10,1,10
16003,20181025,201810,010,https://www.aoh.dk/ritzau/gravide-og-syge-tilbydes-supervaccine-mod-influenza,1,DANISH,DNK,CITIZEN,,10,1,10
16004,20181001,201810,010,https://www.clinicaladvisor.com/influenza-information-center/80000-americans-died-from-influenza-over-last-year/article/803294/,1,THE US,USA,THE ASSOCIATED PRESS,USA,10,1,10
16005,20181001,201810,010,https://www.clinicaladvisor.com/influenza-information-center/80000-americans-died-from-influenza-over-last-year/article/803294/,1,UNITED STATES,USA,NASHVILLE,USA,2,1,2
16006,20181030,201810,010,https://www.feedstuffs.com/nutrition-health/influenza-d-grant-study-how-virus-infects-cells,1,UNITED STATES,USA,,,2,1,2
16007,20181024,201810,010,https://www.finanznachrichten.de/nachrichten-2018-10/45092808-genentech-announces-fda-approval-of-xofluza-baloxavir-marboxil-for-influenza-004.htm,0,POPULATION,,,,5,1,5
16008,20181022,201810,010,https://www.globalmeatnews.com/Article/2018/10/22/Avian-influenza-hits-Russian-broiler,1,RUSSIA,RUS,,,4,1,4
16009,20181005,201810,010,https://www.greatfallstribune.com/story/life/my-montana/2018/10/05/montana-album-spanish-influenza-epidemic-proclaimed-great-falls/38048841/,0,PRESIDENT,,GERMAN,DEU,1,1,1
16010,20181005,201810,010,https://www.greatfallstribune.com/story/life/my-montana/2018/10/05/montana-album-spanish-influenza-epidemic-proclaimed-great-falls/38048841/,0,PRESIDENT,,GERMAN,DEU,1,1,1
16011,20181006,201810,010,https://www.greatfallstribune.com/story/life/my-montana/2018/10/06/montana-album-spanish-influenza-epidemic-proclaimed-great-falls/38048841/,0,PRESIDENT,,GERMAN,DEU,1,1,1
16012,20181006,201810,010,https://www.greatfallstribune.com/story/life/my-montana/2018/10/06/montana-album-spanish-influenza-epidemic-proclaimed-great-falls/38048841/,0,PRESIDENT,,GERMAN,DEU,3,1,3
16013,20181015,201810,010,https://www.irishtimes.com/life-and-style/health-family/era-of-danger-of-a-catastrophic-influenza-pandemic-far-from-over-1.3649125,1,IRISH,IRL,SPANISH,ESP,7,1,7
16014,20181031,201810,010,https://www.lavocedeltrentino.it/2018/10/31/al-via-la-campagna-di-vaccinazione-antinfluenzale/,0,COMPANY,,,,10,1,10
16015,20181029,201810,010,https://www.nationalhogfarmer.com/animal-health/influenza-d-grant-study-how-virus-infects-cells,1,UNITED STATES,USA,,,2,1,2
16016,20181005,201810,010,https://www.newsletter.co.uk/lifestyle/nostalgia/worldwide-influenza-pandemic-shrouded-ireland-with-post-war-sickness-and-death-1-8658238,1,PRESIDENT,,,,10,1,10
16017,20181025,201810,010,https://www.nuovaresistenza.org/2018/10/leuroparlamento-indaga-sullinfluenza-di-casaleggio-sugli-eletti/,1,NEWSPAPER,,EUROPEAN,EUR,10,1,10
16018,20181013,201810,010,https://www.stuff.co.nz/national/health/107298823/New-Zealands-worst-disease-disaster-100-years-since-the-1918-influenza-pandemic,1,SPANISH,ESP,,,3,1,3
16019,20181006,201810,010,https://www.theguardian.pe.ca/community/fighting-deadly-influenza-sickness-was-claiming-victims-of-its-own-here-at-home-247853/,1,,,NORTH AMERICA,NMR,3,1,3
16020,20181006,201810,010,https://www.theguardian.pe.ca/community/fighting-deadly-influenza-sickness-was-claiming-victims-of-its-own-here-at-home-247853/,1,,,UNITED STATES,USA,2,1,2
16021,20181006,201810,010,https://www.theguardian.pe.ca/community/fighting-deadly-influenza-sickness-was-claiming-victims-of-its-own-here-at-home-247853/,1,,,NORTH AMERICA,NMR,1,1,1
16022,20181006,201810,010,https://www.theguardian.pe.ca/community/fighting-deadly-influenza-sickness-was-claiming-victims-of-its-own-here-at-home-247853/,1,UNITED STATES,USA,NORTH AMERICA,NMR,2,1,2
16023,20181024,201810,010,https://www.zazoom.it/2018-10-24/leuroparlamento-indaga-sullinfluenza-di-casaleggio-sugli-eletti/4811110/,1,NEWSPAPER,,EUROPEAN,EUR,10,1,10
16024,20181002,201810,012,http://comminit.com/global/content/maternal-influenza-immunization-perceptions-decision-makers-health-care-providers-and-co,0,WORKER,,,,10,1,10
16025,20181009,201810,012,https://www.dr.dk/nyheder/indland/influenza-saeson-paa-vej-faa-kronisk-syge-bliver-vaccineret,1,MALE,MDV,,,4,1,4
16026,20181009,201810,012,https://www.dr.dk/nyheder/indland/influenza-saeson-paa-vej-faa-kronisk-syge-bliver-vaccineret,1,MALE,MDV,,,6,1,6
16027,20181020,201810,012,https://www.forbes.com/sites/kionasmith/2018/10/19/a-century-after-1918-influenza-pandemic-we-have-work-to-do/,0,POPULATION,,GOVERNMENT,,10,1,10
16028,20181009,201810,013,http://961theeagle.com/canine-influenza-in-cny-can-be-deadly-for-dogs/,1,UNITED STATES,USA,DOCTOR,,6,1,6
16029,20181009,201810,013,http://961theeagle.com/canine-influenza-in-cny-can-be-deadly-for-dogs/,1,UNITED STATES,USA,UNITED STATES,USA,2,1,2
16030,20181001,201810,013,https://www.westernadvocate.com.au/story/5674889/region-successfully-ducked-influenza-this-season-and-peaks-over/?cs=115,1,GOVERNMENT,,INDIGENOUS PEOPLE,,5,1,5
16031,20181003,201810,017,https://www.milforddailynews.com/news/20181002/hopedale-historian-chronicles-spanish-influenza,1,SPANISH,ESP,,,2,1,2
16032,20181003,201810,017,https://www.milforddailynews.com/news/20181002/hopedale-historian-chronicles-spanish-influenza,1,SPANISH,ESP,,,6,1,6
16033,20181026,201810,020,http://comunicalo.it/2018/10/25/leuroparlamento-indaga-sullinfluenza-di-casaleggio-sugli-eletti/,1,,,PRESIDENT,,10,1,10
16034,20181007,201810,020,http://messaggeroveneto.gelocal.it/udine/cronaca/2018/10/07/news/meno-vaccinazioni-contro-l-influenza-i-piu-a-rischio-sono-gli-over-65-1.17327971,1,MINISTRY,,,,10,1,10
16035,20181027,201810,020,http://outbreaknewstoday.com/minnesota-h5n2-avian-influenza-detected-kandiyohi-county-turkey-flock-89112/,1,,,PRODUCER,,10,1,10
16036,20181016,201810,020,http://proceso.hn/mas-noticias/32-m%C3%A1s-noticias/en-32-por-ciento-bajan-casos-de-influenza-h1n1-en-honduras.html,1,AUTHORITIES,,,,10,1,10
16037,20181017,201810,020,http://proceso.hn/salud/5-salud-y-sociedad/en-32-por-ciento-bajan-casos-de-influenza-h1n1-en-honduras.html,1,AUTHORITIES,,,,10,1,10
16038,20181022,201810,020,http://spectrumlocalnews.com/nys/binghamton/news/2018/10/21/canine-influenza,1,UNITED STATES,USA,,,16,1,8
16039,20181019,201810,020,http://www.comminit.com/global/content/low-coverage-influenza-vaccination-among-chinese-children-aged-12-23-months-prevalence-a,0,GOVERNMENT,,,,5,1,5
16040,20181025,201810,020,http://www.cpr.org/news/story/colorado-gears-up-for-another-flu-season-in-the-shadow-of-1918-influenza-pandemic,1,DOCTOR,,,,10,1,10
16041,20181001,201810,020,http://www.diariodelistmo.com/noticias-veracruz/estatal/37062/mueren-6-personas-por-influenza-ss.html,1,SECRETARIAT,,,,10,1,10
16042,20181020,201810,020,http://www.greensburgdailynews.com/news/local_news/myths-and-facts-about-influenza-and-seniors/article_3cdad4e2-0578-57dd-9b4e-2403928d81ad.html,1,UNITED STATES,USA,,,2,1,2
16043,20181024,201810,020,http://www.jamestownsun.com/business/agriculture/4518127-less-dangerous-avian-influenza-strain-confirmed-minnesota-turkey-flock,1,,,PRODUCER,,20,2,20
16044,20181006,201810,020,http://www.ladige.it/news/cronaca/2018/10/06/influenza-vaccini-80-mila-prevenzione-5-novembre,1,MINISTRY,,,,10,1,10
16045,20181025,201810,020,http://www.siracusanews.it/siracusa-al-via-la-campagna-vaccinazione-antinfluenzale/,0,HOSPITAL,,SCHOOL,,10,1,10
16046,20181022,201810,020,http://www.sj-r.com/news/20181021/sangamon-county-history-remembering-springfield-influenza-epidemic-of-1918,1,DOCTOR,,,,10,1,10
16047,20181025,201810,020,http://www.smtvsanmarino.sm/attualita/2018/10/25/piu-vaccini-titano-lanciata-campagna-vaccinazione-antinfluenzale,1,DOCTOR,,,,10,1,10
16048,20181022,201810,020,https://slate.com/technology/2018/10/spanish-flu-1918-influenza-pandemic-name-misnomer.html,0,UNITED STATES,USA,,,2,1,2
16049,20181022,201810,020,https://slate.com/technology/2018/10/spanish-flu-1918-influenza-pandemic-name-misnomer.html,0,MAORI,,UNITED STATES,USA,2,1,2
16050,20181022,201810,020,https://slate.com/technology/2018/10/spanish-flu-1918-influenza-pandemic-name-misnomer.html,0,NATIVE AMERICAN,,UNITED STATES,USA,4,1,4
