RowNum,monthyear,sourceurl,nummentions,numsources,numarticles,eventcode,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode
32001,201603,http://fait-religieux.com/2016/03/14/first-case-of-zika-reported-in-kansas.html,1,1,1,042,UNITED STATES,USA,HAITI,HTI
32002,201603,http://fait-religieux.com/2016/03/14/first-case-of-zika-reported-in-kansas.html,2,1,2,043,HAITI,HTI,UNITED STATES,USA
32003,201603,http://fait-religieux.com/2016/03/14/first-case-of-zika-reported-in-kansas.html,2,1,2,043,HAITI,HTI,,
32004,201603,http://fait-religieux.com/2016/03/14/first-case-of-zika-reported-in-kansas.html,2,1,2,043,HAITI,HTI,UNITED STATES,USA
32005,201603,http://fait-religieux.com/2016/03/14/first-case-of-zika-reported-in-kansas.html,3,1,3,042,,,HAITI,HTI
32006,201603,http://fait-religieux.com/2016/03/14/first-case-of-zika-reported-in-kansas.html,3,1,3,042,UNITED STATES,USA,HAITI,HTI
32007,201603,http://fait-religieux.com/2016/03/14/first-zika-case-reported-in-philadelphia-reported.html,14,2,14,010,STATE OFFICIAL,,,
32008,201603,http://fait-religieux.com/2016/03/14/how-does-zika-infection-lead-to-microcephaly.html,4,1,4,020,UNITED STATES,USA,,
32009,201603,http://fait-religieux.com/2016/03/14/pregnant-woman-tests-positive-for-zika-virus-in-napa-county.html,10,1,10,0841,HEALTH OFFICIAL,,,
32010,201603,http://fait-religieux.com/2016/03/14/puerto-rico-may-face-hundreds-of-thousands-of-zika-cases.html,5,1,5,020,PUERTO RICO,USA,,
32011,201603,http://fait-religieux.com/2016/03/14/puerto-rico-may-face-hundreds-of-thousands-of-zika-cases.html,5,1,5,120,PUERTO RICO,USA,,
32012,201603,http://fait-religieux.com/2016/03/14/puerto-rico-may-face-hundreds-of-thousands-of-zika-cases.html,10,1,10,042,,,HEALTH CARE PROVIDER,
32013,201603,http://fait-religieux.com/2016/03/14/puerto-rico-may-face-hundreds-of-thousands-of-zika-cases.html,10,1,10,036,MEXICO CITY,MEX,,
32014,201603,http://fait-religieux.com/2016/03/14/puerto-rico-may-face-hundreds-of-thousands-of-zika-cases.html,10,1,10,043,HEALTH CARE PROVIDER,,,
32015,201603,http://fait-religieux.com/2016/03/14/zika-case-in-kansas.html,10,1,10,043,HAITI,HTI,MISSOURI,USA
32016,201603,http://fait-religieux.com/2016/03/14/zika-case-in-kansas.html,10,1,10,042,MISSOURI,USA,HAITI,HTI
32017,201603,http://fait-religieux.com/2016/03/14/zika-case-in-kansas.html,10,1,10,134,UNITED STATES,USA,,
32018,201603,http://fait-religieux.com/2016/03/14/zika-case-in-kansas.html,10,1,10,160,HEALTH OFFICIAL,,,
32019,201603,http://fait-religieux.com/2016/03/15/fda-says-engineered-anti-zika-mosquito-environmentally-safe.html,3,1,3,010,BRAZIL,BRA,,
32020,201603,http://fait-religieux.com/2016/03/15/fda-says-engineered-anti-zika-mosquito-environmentally-safe.html,5,1,5,120,AFRICA,AFR,,
32021,201603,http://fait-religieux.com/2016/03/15/fda-says-engineered-anti-zika-mosquito-environmentally-safe.html,5,1,5,120,BRAZIL,BRA,,
